id,trip_distance,trip_time_in_secs,tip_amount,fare_amount,tip_perc,counter,pickup_zipcode,dropoff_zipcode
10003|10452,10.22,1078,1.966666667,29,6.900584795,3,10003,10452
10003|10453,12.7,1214,9.12,35.5,25.69014085,1,10003,10453
10003|10454,7.565,1056,1.85,23.08333333,7.65577342,6,10003,10454
10003|10455,8.806666667,1254.333333,4.126666667,27.16666667,13.78048533,3,10003,10455
10003|10456,8.903333333,1348.666667,2.25,27.16666667,8.490566038,3,10003,10456
10003|10458,14.775,1680,2.5,42.25,5.617977528,2,10003,10458
10003|10459,9.49,1320,0,29,0,1,10003,10459
10003|10460,11.9,1881,2,37,5.405405405,1,10003,10460
10003|10461,12.45,1766.5,6.125,37.75,15.51146384,2,10003,10461
10003|10462,13.575,1868.25,0,39.625,0,4,10003,10462
10003|10463,13.75,2357,5.6,42,13.33333333,2,10003,10463
10003|10466,17.52,2040,0,49.5,0,1,10003,10466
10003|10468,13.57666667,2306,1.666666667,42.5,4.273504274,3,10003,10468
10003|10470,16.82,1740,0,47,0,1,10003,10470
10003|10471,15.575,1817.25,0,43.5,0,4,10003,10471
10003|10472,10.635,1260,0.5,30.75,1.5625,2,10003,10472
10003|10473,10.6,1080,0,29.5,0,1,10003,10473
10003|11201,3.726176471,1176.537815,2.287857143,16.14495798,13.76669536,238,10003,11201
10003|11203,9.5975,2263.25,3.53,33.375,9.838111888,4,10003,11203
10003|11204,11.39571429,2040.714286,1.4,36.35714286,4.148727984,7,10003,11204
10003|11205,4.08961039,1032.675325,2.094025974,15.66233766,13.3001312,77,10003,11205
10003|11206,4.3345,1029.35,1.8875,16.315,11.39703879,100,10003,11206
10003|11207,7.765,1730.333333,2.983333333,26.75,12.01898739,6,10003,11207
10003|11208,16.785,1595.5,4.95,46,10.20618557,2,10003,11208
10003|11209,10.91866667,1909.333333,5.871333333,34.9,16.74922305,15,10003,11209
10003|11210,10.25,1865,2.5,32.75,9.090909091,2,10003,11210
10003|11211,3.624523077,918.4553846,1.834123077,14.68769231,12.50161573,325,10003,11211
10003|11212,8.47,1800,5,27.5,18.18181818,1,10003,11212
10003|11213,6.627,1628.1,1.662,23.85,6.71031746,10,10003,11213
10003|11214,14.045,2009.5,5.5,41.5,12.87148876,4,10003,11214
10003|11215,5.363333333,1370.353535,2.837575758,20.4040404,14.07108153,99,10003,11215
10003|11216,5.21452381,1279.619048,2.776666667,19.38095238,14.22543772,42,10003,11216
10003|11217,4.159052632,1097,1.968842105,16.23684211,12.04464704,95,10003,11217
10003|11218,8.5495,1552.15,3.7475,27.6,13.59610955,20,10003,11218
10003|11219,9.67,1440,0,29.5,0,1,10003,11219
10003|11220,8.771,1849.6,3.06,29.25,9.844378002,10,10003,11220
10003|11221,5.451395349,1422.27907,1.922093023,20.53488372,8.680060797,43,10003,11221
10003|11222,4.705384615,985.0854701,2.208717949,17.03418803,13.02879765,117,10003,11222
10003|11223,11.76666667,2703.666667,4.783333333,40.33333333,12.4212963,3,10003,11223
10003|11224,15.2,1776,0,42.5,0,1,10003,11224
10003|11225,5.949411765,1352.088235,2.777941176,20.76470588,12.64727654,34,10003,11225
10003|11226,7.9325,1640.3,3.242,27.125,12.42327956,20,10003,11226
10003|11228,11.7425,2304.5,2.475,38.375,5.904275809,4,10003,11228
10003|11229,13.3,2049,0,40,0,1,10003,11229
10003|11230,9.7075,1720,4.915,31.25,16.17804986,4,10003,11230
10003|11231,4.943392857,1465.839286,3.082142857,19.96428571,15.67127687,56,10003,11231
10003|11232,7.310833333,1607.875,3.314583333,24.625,12.27971628,24,10003,11232
10003|11233,5.781428571,1375.142857,1.957142857,20.85714286,8.965313845,7,10003,11233
10003|11234,18.8,2674.5,4,55.75,6.060606061,2,10003,11234
10003|11235,15.18625,2198.75,4.12,45.1875,9.190747406,8,10003,11235
10003|11236,9.345,1930,4,30.75,13.94878706,2,10003,11236
10003|11237,5.609069767,1359.232558,2.524883721,20.8255814,12.59167521,43,10003,11237
10003|11238,4.933673469,1280.653061,3.155816327,18.99489796,16.30315763,98,10003,11238
10003|11239,10.5,2203,4.5,34.5,13.04347826,1,10003,11239
10003|11251,3.19,1004.333333,2.1,14.5,13.77155172,3,10003,11251
10004|10001,4.390247934,1155.14876,1.543140496,17.47933884,9.160271551,121,10004,10001
10004|10002,2.069056604,619.6603774,0.958396226,9.806603774,9.778398596,106,10004,10002
10004|10003,3.483623188,848.2318841,1.500724638,13.83333333,10.69107282,69,10004,10003
10004|10004,1.117333333,434.7333333,0.834,8.122222222,8.718832733,45,10004,10004
10004|10005,0.9164,358.32,0.608,6.16,6.712544803,25,10004,10005
10004|10006,0.891904762,408.1428571,0.281904762,6.261904762,6.191435549,21,10004,10006
10004|10007,1.13026087,503.2173913,0.944869565,7.291304348,12.61098868,115,10004,10007
10004|10009,3.544583333,638.0416667,1.553541667,12.84375,12.13680907,48,10004,10009
10004|10010,4.3382,846.16,1.4594,15.73,9.576225515,50,10004,10010
10004|10011,3.1999,907.48,1.5469,13.655,11.73462154,100,10004,10011
10004|10012,2.405121951,845.7195122,1.033292683,11.84146341,9.501879009,82,10004,10012
10004|10013,1.635597484,678.427673,0.966037736,9.632075472,10.30139327,159,10004,10013
10004|10014,2.788676471,831.1323529,1.429558824,12.14705882,12.02992933,68,10004,10014
10004|10016,4.846060606,919.3232323,1.846363636,17.29292929,11.04124097,99,10004,10016
10004|10017,5.41609589,898.890411,2.040136986,18.34589041,11.22796734,146,10004,10017
10004|10018,4.667906977,1351.116279,1.622093023,19.59302326,7.990690757,43,10004,10018
10004|10019,5.566216216,1421.792793,2.058828829,21.66666667,9.440484063,111,10004,10019
10004|10020,5.898333333,1249.5,2.566666667,21.66666667,11.93840466,6,10004,10020
10004|10021,6.662682927,986.6829268,2.426829268,21.02439024,12.0723087,41,10004,10021
10004|10022,5.76725,1109.358333,2.588833333,20.19166667,12.665141,120,10004,10022
10004|10023,6.525666667,1341.7,2.669333333,23.01666667,11.92611495,30,10004,10023
10004|10024,7.658333333,1539.222222,4.147222222,26.16666667,15.20841141,18,10004,10024
10004|10025,8.316666667,1667.333333,5.45,28.33333333,19.95136753,6,10004,10025
10004|10026,11,1622,5,33.5,14.92537313,1,10004,10026
10004|10027,10.76666667,1285.666667,4.966666667,31.16666667,15.91056494,3,10004,10027
10004|10028,7.115416667,1144.25,1.891666667,22.85416667,8.3755037,24,10004,10028
10004|10029,8.169090909,1006.545455,2.054545455,24.45454545,8.775175501,11,10004,10029
10004|10030,12.05,2160,0,39,0,1,10004,10030
10004|10032,11.205,2175,4.625,36,12.67123288,2,10004,10032
10004|10033,12.72,1562,2.495,38.25,6.653333333,2,10004,10033
10004|10035,9.1,1094,2.95,26.75,10.35087719,2,10004,10035
10004|10036,5.172803738,1337.317757,1.683551402,20.42523364,8.064402369,107,10004,10036
10004|10038,0.837121212,374.6515152,0.336060606,5.931818182,5.798747537,66,10004,10038
10004|10039,11.615,1222.5,1,32.5,3.076923077,2,10004,10039
10004|10040,14.1,1701.5,5,39.25,12.82051282,2,10004,10040
10004|10065,6.434166667,1064.388889,1.974722222,21.20833333,9.132345838,36,10004,10065
10004|10075,7.242666667,1035.8,2.786666667,22.3,12.90596783,15,10004,10075
10004|10128,8.0456,1006.36,2.9388,24.2,12.25635458,25,10004,10128
10004|10280,0.979230769,362.1538462,0.870307692,5.938461538,14.81180466,65,10004,10280
10004|10312,23.73,2280,12.51,63.5,19.7007874,1,10004,10312
10004|10452,12.66,1800,0,36.5,0,1,10004,10452
